Feeder Fund,Exposure_Amount,
Access_Int_Advisors,"$1,443,800,000",
Ariel_Capital,"$94,000,000",
Ascot_Partners,"$1,800,000,000",
Austin_Capital,"$12,000,000",
Avellino_Bienes,"$440,000,000",
Banco_Bilbao_Vizcaya_Argentaria,"$401,000,000",
Banco_Safra,"$40,000,000",
Banco_Santander,"$400,000,000",
Bank_Medici,"$2,100,000,000",
Banque_Benedict_HentchCie,"$47,500,000",
Bernard_Madoff_Investment,,
BNP_Paribas,"$475,300,000",
Bramdean_Alternatives_Ltd,"$31,200,000",
Brighton_Co,"$822,500,000",
Capital_Bank_Austria,"$19,300,000",
CMG,"$77,500,000",
Cohmad_securities,"$3,700,000",
Credicorp_Ltd,"$4,500,000",
EFG_International_AG,"$130,000,000",
EIM_Group,"$230,000,000",
Fairfield_Greenwich,"$7,500,000,000",
FIM_Advisers,"$145,000,000",
Fix_Asset_Mgt,"$400,000,000",
Fortis_Bank_Nederland,"$1,350,000,000",
Fukoku_Mutual_Life,"$22,000,000",
Gabriel_Capital,"$2,700,000",
Genevalor_Benbassat_Cie,"$935,000,000",
Genium_Advisors,"$281,400",
Great_Eastern_Holdings,"$44,000,000",
Herald_Lux_Fund,"$900,000,000",
HSBC_Holdings,"$1,000,000,000",
Kingate_Euro_Fund,"$819,000,000",
Kingate_Global_Fund,"$2,299,000,000",
M&B_Capital_Advisors,"$52,800,000",
Man_Group_PLC,"$360,000,000",
Maxam_Absolute_Return_Fund,"$280,000,000",
Meridian_Capital_Partners,"$80,000,000",
Mirabaud_Cie,"$7,000,000",
Neue_Privat_Bank,"$5,000,000",
Nipponkoa_Insurance,"$22,000,000",
Nomura_Holdings,"$303,000,000",
Nordea_Bank_AB,"$65,000,000",
Notz_Stucki_Cie,"$750,000,000",
Opperheimer_Funds,"$200,000,000",
Optimal_Strategic_US,"$2,650,000,000",
Phoenix_Holdings,"$15,000,000",
Pioneer_Alt_Investments,"$280,000,000",
Prospect_Capital,"$34,5000,000",
Rothschild_Cie,"$56,200,000",
Rye_Investment_Funds,"$2,876,800,000",
S&P_Investment,"$28,000,000",
Spring_Mountain_Capital,"$35,000,000",
Stanford_Capital_Mgt,"$1,200,000,000",
Sterling_Equities,"$500,000,000",
Sterling_Stamos_Capital_Mgt,"$500,000,000",
Sumitomo_Life_Ins,"$22,000,000",
Thema_Fund,"$1,100,000,000",
Tremont_Group_Holdings,"$3,300,000,000",
UniCredit_SpA,"$101,000,000",
Union_Bancaire_Privee,"$850,000,000",
Zeus_Partners_Ltd,"$260,000,000",